starting_point_id,dropping_point_id,pickup_time,dropoff_time,duration,pickup_time_sec,weekday
138,189,2019-03-01 00:13:53,2019-03-01 00:39:46,25,833,Friday
138,189,2019-03-01 12:53:33,2019-03-01 13:43:02,49,46413,Friday
138,189,2019-03-01 13:44:32,2019-03-01 14:21:07,36,49472,Friday
138,189,2019-03-01 13:29:08,2019-03-01 14:18:09,49,48548,Friday
138,189,2019-03-01 12:25:28,2019-03-01 13:08:41,43,44728,Friday
138,189,2019-03-01 14:30:01,2019-03-01 15:03:12,33,52201,Friday
138,189,2019-03-01 15:27:46,2019-03-01 16:25:57,58,55666,Friday
138,189,2019-03-01 16:39:58,2019-03-01 17:32:38,52,59998,Friday
138,189,2019-03-01 17:26:22,2019-03-01 18:17:28,51,62782,Friday
138,189,2019-03-01 17:49:56,2019-03-01 18:43:45,53,64196,Friday
138,189,2019-03-01 19:52:26,2019-03-01 20:32:45,40,71546,Friday
138,189,2019-03-01 20:45:36,2019-03-01 21:11:58,26,74736,Friday
138,189,2019-03-01 20:15:13,2019-03-01 20:47:34,32,72913,Friday
138,189,2019-03-01 20:00:50,2019-03-01 20:33:54,33,72050,Friday
138,189,2019-03-01 20:37:34,2019-03-01 21:08:50,31,74254,Friday
138,189,2019-03-01 21:59:03,2019-03-01 22:28:12,29,79143,Friday
138,189,2019-03-01 21:14:36,2019-03-01 21:39:01,24,76476,Friday
138,189,2019-03-01 23:17:14,2019-03-01 23:49:49,32,83834,Friday
138,189,2019-03-01 23:20:53,2019-03-01 23:43:33,22,84053,Friday
138,189,2019-03-02 00:23:57,2019-03-02 00:49:05,25,1437,Saturday
138,189,2019-03-02 00:04:13,2019-03-02 00:31:22,27,253,Saturday
138,189,2019-03-02 00:02:38,2019-03-02 00:28:05,25,158,Saturday
138,189,2019-03-02 01:06:08,2019-03-02 01:36:14,30,3968,Saturday
138,189,2019-03-02 01:07:15,2019-03-02 01:30:35,23,4035,Saturday
138,189,2019-03-02 11:04:56,2019-03-02 11:43:00,38,39896,Saturday
138,189,2019-03-02 12:53:39,2019-03-02 13:32:51,39,46419,Saturday
138,189,2019-03-02 12:17:58,2019-03-02 13:00:10,42,44278,Saturday
138,189,2019-03-02 12:47:33,2019-03-02 13:10:55,23,46053,Saturday
138,189,2019-03-02 14:19:54,2019-03-02 14:54:05,34,51594,Saturday
138,189,2019-03-02 15:47:15,2019-03-02 16:11:13,23,56835,Saturday
138,189,2019-03-02 16:36:56,2019-03-02 17:24:41,47,59816,Saturday
138,189,2019-03-02 17:08:51,2019-03-02 17:40:23,31,61731,Saturday
138,189,2019-03-02 17:28:48,2019-03-02 18:00:38,31,62928,Saturday
138,189,2019-03-02 18:08:08,2019-03-02 19:00:29,52,65288,Saturday
138,189,2019-03-02 19:37:02,2019-03-02 20:05:55,28,70622,Saturday
138,189,2019-03-02 20:20:15,2019-03-02 20:57:11,36,73215,Saturday
138,189,2019-03-02 21:31:54,2019-03-02 21:58:19,26,77514,Saturday
138,189,2019-03-02 22:11:14,2019-03-02 22:38:40,27,79874,Saturday
138,189,2019-03-03 00:15:53,2019-03-03 00:41:02,25,953,Sunday
138,189,2019-03-03 00:58:45,2019-03-03 01:25:53,27,3525,Sunday
138,189,2019-03-03 10:43:50,2019-03-03 11:15:40,31,38630,Sunday
138,189,2019-03-03 10:42:07,2019-03-03 11:03:08,21,38527,Sunday
138,189,2019-03-03 12:48:35,2019-03-03 13:14:38,26,46115,Sunday
138,189,2019-03-03 13:05:43,2019-03-03 13:33:01,27,47143,Sunday
138,189,2019-03-03 14:53:09,2019-03-03 15:20:53,27,53589,Sunday
138,189,2019-03-03 14:54:57,2019-03-03 15:39:14,44,53697,Sunday
138,189,2019-03-03 15:31:00,2019-03-03 16:15:22,44,55860,Sunday
138,189,2019-03-03 16:10:01,2019-03-03 16:54:25,44,58201,Sunday
138,189,2019-03-03 17:40:53,2019-03-03 18:20:22,39,63653,Sunday
138,189,2019-03-03 17:29:11,2019-03-03 18:10:15,41,62951,Sunday
138,189,2019-03-03 17:49:04,2019-03-03 18:20:26,31,64144,Sunday
138,189,2019-03-03 17:08:14,2019-03-03 17:51:40,43,61694,Sunday
138,189,2019-03-03 19:10:01,2019-03-03 19:45:33,35,69001,Sunday
138,189,2019-03-03 19:26:10,2019-03-03 19:56:53,30,69970,Sunday
138,189,2019-03-03 20:23:32,2019-03-03 20:48:50,25,73412,Sunday
138,189,2019-03-03 20:10:15,2019-03-03 20:40:46,30,72615,Sunday
138,189,2019-03-03 20:49:12,2019-03-03 21:13:05,23,74952,Sunday
138,189,2019-03-03 20:22:11,2019-03-03 20:56:54,34,73331,Sunday
138,189,2019-03-03 22:42:29,2019-03-03 23:14:31,32,81749,Sunday
138,189,2019-03-03 23:00:48,2019-03-03 23:24:51,24,82848,Sunday
138,189,2019-03-04 00:03:03,2019-03-04 00:33:35,30,183,Monday
138,189,2019-03-04 00:22:32,2019-03-04 00:49:51,27,1352,Monday
138,189,2019-03-04 02:26:22,2019-03-04 02:50:35,24,8782,Monday
138,189,2019-03-04 07:53:40,2019-03-04 08:38:42,45,28420,Monday
138,189,2019-03-04 08:51:12,2019-03-04 09:28:32,37,31872,Monday
138,189,2019-03-04 12:35:50,2019-03-04 13:14:15,38,45350,Monday
138,189,2019-03-04 13:35:38,2019-03-04 14:21:45,46,48938,Monday
138,189,2019-03-04 14:09:37,2019-03-04 14:38:22,28,50977,Monday
138,189,2019-03-04 14:50:05,2019-03-04 15:32:35,42,53405,Monday
138,189,2019-03-04 14:57:03,2019-03-04 15:46:25,49,53823,Monday
138,189,2019-03-04 14:23:56,2019-03-04 14:55:18,31,51836,Monday
138,189,2019-03-04 14:35:56,2019-03-04 15:26:54,50,52556,Monday
138,189,2019-03-04 14:30:24,2019-03-04 15:13:47,43,52224,Monday
138,189,2019-03-04 15:07:42,2019-03-04 15:56:33,48,54462,Monday
