Starting_point_id,Dropping_point_id,Weekday,Intercept,Power_0,Power_1,Power_2,Power_3,Power_4,Power_5,Power_6,Power_7
1,3,Saturday,28.821660034215192,-1.710470875812471e-24,-7.415567692561929e-18,-1.2731066468598068e-18,-6.568518094321495e-16,-2.03100555674646e-13,5.381966334136669e-16,-4.3229224884607e-19,1.0873863456400886e-22
1,3,Sunday,18.883813939217745,1.5209085041319572e-16,-2.5831349202539867e-11,1.833603126055409e-11,3.5448025571606056e-09,-1.3006948755030132e-11,1.7719790365782015e-14,-1.0565640274680733e-17,2.3240583888977106e-21
1,3,Monday,45.33370669253826,-8.325350687184999e-24,4.638343415331062e-18,-5.739999276402375e-18,-2.8663865275584466e-15,-8.609038218634148e-13,2.0194309800353173e-15,-1.5635042398977936e-18,3.9884446292927843e-22
1,3,Tuesday,20.3526684697864,1.9577115794371016e-16,-1.524516177189863e-10,2.3286988022185214e-11,4.339748532631646e-09,-1.5945237937319912e-11,2.1690733914959877e-14,-1.2913425859009413e-17,2.838925172284813e-21
1,3,Wednesday,35.55402172435114,-6.333674010703133e-24,-1.425963495048592e-17,-4.496659062504728e-18,-2.301200262498547e-15,-7.108101805544056e-13,1.707974222935401e-15,-1.3348019966711923e-18,3.411326381846205e-22
1,3,Thursday,25.01506660771836,9.274305218891468e-17,-2.4956993280018783e-10,1.251412199715788e-11,2.4899036926497064e-09,-8.944598485830374e-12,1.1928086996828282e-14,-6.93731874122403e-18,1.481593343665866e-21
1,3,Friday,24.74775819013353,2.420085258960388e-17,1.1254150933893257e-11,3.596786919721121e-12,7.067039868667264e-10,-2.509670058093964e-12,3.2676523846560587e-15,-1.827267868517661e-18,3.691200226654157e-22
1,4,Saturday,39.14441320559156,3.4490367711030166e-26,4.9322595338333433e-20,2.562211038484507e-20,1.3214728099948399e-17,4.084061286220679e-15,7.406414134725897e-17,-9.841381191750431e-20,3.0962119652754246e-23
1,4,Sunday,26.522282499353437,1.5050277433170847e-16,-2.556163069972027e-11,1.8144573705265032e-11,3.507789309160633e-09,-1.2786276983932433e-11,1.7493448649520116e-14,-1.0541691662953893e-17,2.3515683153660774e-21
1,4,Monday,58.7809361281668,-5.9867224565059574e-24,3.3354118984185217e-18,-4.127607755309604e-18,-2.061205667326236e-15,-6.190720333857545e-13,1.4798842776058591e-15,-1.1654299783275704e-18,3.011203917779741e-22
1,4,Tuesday,27.204953720877292,1.7504051769012863e-16,-1.3630818341500448e-10,2.0821081391450516e-11,3.88020517047013e-09,-1.3562279745070599e-11,1.7819793801202097e-14,-1.0353979834412271e-17,2.2367795782232643e-21
1,4,Wednesday,46.31433925028345,-7.528592007765135e-24,3.417564489905975e-17,-5.3424701425142775e-18,-2.7353586333916698e-15,-8.449172093041311e-13,2.1811750125606837e-15,-1.8192130027344782e-18,4.937377225276815e-22
1,4,Thursday,30.903987462143405,1.5393595656598731e-16,8.832408675855054e-10,2.0658585539439817e-11,4.113567581863342e-09,-1.4878130903235544e-11,2.0132002495846516e-14,-1.1965835243511414e-17,2.627093269576477e-21
1,4,Friday,28.69184259717447,1.117379889452678e-16,-4.5482243779368723e-11,1.6605098130133248e-11,3.264128394382145e-09,-1.2431339658047969e-11,1.7547886526579693e-14,-1.0833096348448318e-17,2.4672956247230826e-21
1,5,Saturday,28.14556690532651,1.2432975731364506e-24,-3.522139720697642e-18,9.239174869906276e-19,4.763422814467756e-16,1.47210178282228e-13,-3.106012620814e-16,2.3231344293215763e-19,-6.105738920306335e-23
1,5,Sunday,20.997800602358453,8.416870624169386e-17,-1.4295353162456835e-11,1.0147357426778515e-11,1.961732430581729e-09,-6.966723493116148e-12,9.393909599824992e-15,-5.619006482458394e-18,1.2491964690779712e-21
1,5,Monday,44.282493445775636,-2.2731964106912368e-24,1.2664769090395721e-18,-1.5672787370509094e-18,-7.826527773106992e-16,-2.350655200138344e-13,5.865465484754825e-16,-4.82055396077915e-19,1.2932162018186786e-22
1,5,Tuesday,20.763466716861018,1.1543903103235092e-16,-1.874313204289548e-10,1.3738078645334225e-11,2.557521039298967e-09,-8.77556618627313e-12,1.139810383059736e-14,-6.583111805315859e-18,1.4194396940958086e-21
1,5,Wednesday,30.69704077234934,-2.3631915713375843e-24,-5.785796162435987e-19,-1.6774682157015938e-18,-8.586247195140446e-16,-2.6521917712483947e-13,8.018944919018932e-16,-7.368785932950368e-19,2.1356683406052746e-22
1,5,Thursday,23.115158699306384,1.1106181045049302e-16,6.372411689602344e-10,1.490477042541909e-11,2.9678600123328888e-09,-1.0502524647600552e-11,1.3989975725196678e-14,-8.226584567042846e-18,1.7933117424911557e-21
1,5,Friday,21.600819752320362,8.060020085547005e-17,-3.2807803351480053e-11,1.1977790835818434e-11,2.3545207486820602e-09,-8.939795752957969e-12,1.2583327190888845e-14,-7.742043335888895e-18,1.755930636449981e-21
1,8,Saturday,33.60551232340126,-2.686497699453138e-24,2.763338005637136e-18,-1.996085669177808e-18,-1.0303645504041175e-15,-3.187058709880078e-13,7.965456907015514e-16,-6.404569491884771e-19,1.6696203972410483e-22
1,8,Sunday,19.796484893652234,1.0183750110671089e-16,-1.7296247284415684e-11,1.2277502204915557e-11,2.3735413200620813e-09,-8.531114186904555e-12,1.157442735160931e-14,-6.93276133253111e-18,1.5382277365937505e-21
1,8,Monday,42.93666708027571,-4.1665527033866555e-24,-5.107956106012315e-18,-2.8691888793279443e-18,-1.4327197759891834e-15,-4.3018911951705134e-13,1.0464923122358633e-15,-8.337054883004337e-19,2.1728561353857724e-22
1,8,Tuesday,25.75834792536989,9.299594881254348e-17,-2.2732017906535216e-10,1.133661167969306e-11,2.1276215595356453e-09,-7.75258153765723e-12,1.0607495111413315e-14,-6.399027361924278e-18,1.4304276152649888e-21
1,8,Wednesday,34.90955563432354,-7.876272175177394e-24,1.0419369585237148e-17,-5.590914197338177e-18,-2.8607415290942123e-15,-8.83553314054251e-13,2.256759607252069e-15,-1.873092999540257e-18,5.080526564394325e-22
