starting_point_id,dropping_point_id,pickup_time,dropoff_time,duration,pickup_time_sec,weekday
138,163,2019-01-01 08:45:58,2019-01-01 09:06:47,20,31558,Tuesday
138,163,2019-01-01 08:55:15,2019-01-01 09:20:52,25,32115,Tuesday
138,163,2019-01-01 08:39:30,2019-01-01 09:00:42,21,31170,Tuesday
138,163,2019-01-01 08:55:37,2019-01-01 09:24:24,28,32137,Tuesday
138,163,2019-01-01 09:24:29,2019-01-01 09:41:49,17,33869,Tuesday
138,163,2019-01-01 10:28:20,2019-01-01 10:51:48,23,37700,Tuesday
138,163,2019-01-01 10:26:10,2019-01-01 10:47:03,20,37570,Tuesday
138,163,2019-01-01 10:14:45,2019-01-01 10:37:48,23,36885,Tuesday
138,163,2019-01-01 10:55:31,2019-01-01 11:17:26,21,39331,Tuesday
138,163,2019-01-01 10:17:25,2019-01-01 10:35:50,18,37045,Tuesday
138,163,2019-01-01 10:55:50,2019-01-01 11:26:25,30,39350,Tuesday
138,163,2019-01-01 10:20:47,2019-01-01 10:46:08,25,37247,Tuesday
138,163,2019-01-01 10:52:48,2019-01-01 11:17:31,24,39168,Tuesday
138,163,2019-01-01 11:35:03,2019-01-01 11:57:12,22,41703,Tuesday
138,163,2019-01-01 11:54:18,2019-01-01 12:14:17,19,42858,Tuesday
138,163,2019-01-01 11:11:16,2019-01-01 11:33:28,22,40276,Tuesday
138,163,2019-01-01 11:24:42,2019-01-01 11:48:15,23,41082,Tuesday
138,163,2019-01-01 11:18:31,2019-01-01 11:37:53,19,40711,Tuesday
138,163,2019-01-01 11:41:56,2019-01-01 12:10:10,28,42116,Tuesday
138,163,2019-01-01 11:34:24,2019-01-01 12:03:12,28,41664,Tuesday
138,163,2019-01-01 11:10:34,2019-01-01 11:34:24,23,40234,Tuesday
138,163,2019-01-01 11:22:38,2019-01-01 12:00:20,37,40958,Tuesday
138,163,2019-01-01 12:56:20,2019-01-01 13:24:42,28,46580,Tuesday
138,163,2019-01-01 12:10:08,2019-01-01 12:35:24,25,43808,Tuesday
138,163,2019-01-01 12:11:10,2019-01-01 12:32:02,20,43870,Tuesday
138,163,2019-01-01 12:17:28,2019-01-01 12:42:54,25,44248,Tuesday
138,163,2019-01-01 12:49:44,2019-01-01 13:11:37,21,46184,Tuesday
138,163,2019-01-01 12:25:07,2019-01-01 12:51:51,26,44707,Tuesday
138,163,2019-01-01 12:01:25,2019-01-01 12:29:13,27,43285,Tuesday
138,163,2019-01-01 13:52:03,2019-01-01 14:20:37,28,49923,Tuesday
138,163,2019-01-01 13:27:27,2019-01-01 13:54:13,26,48447,Tuesday
138,163,2019-01-01 13:49:34,2019-01-01 14:19:59,30,49774,Tuesday
138,163,2019-01-01 13:24:13,2019-01-01 13:51:57,27,48253,Tuesday
138,163,2019-01-01 13:12:48,2019-01-01 13:38:12,25,47568,Tuesday
138,163,2019-01-01 13:33:03,2019-01-01 14:02:36,29,48783,Tuesday
138,163,2019-01-01 13:38:03,2019-01-01 14:00:00,21,49083,Tuesday
138,163,2019-01-01 13:02:19,2019-01-01 13:29:54,27,46939,Tuesday
138,163,2019-01-01 14:22:58,2019-01-01 14:49:03,26,51778,Tuesday
138,163,2019-01-01 14:30:04,2019-01-01 14:52:08,22,52204,Tuesday
138,163,2019-01-01 14:44:57,2019-01-01 15:16:47,31,53097,Tuesday
138,163,2019-01-01 13:59:42,2019-01-01 14:36:37,36,50382,Tuesday
138,163,2019-01-01 14:13:12,2019-01-01 14:39:50,26,51192,Tuesday
138,163,2019-01-01 14:24:44,2019-01-01 14:54:57,30,51884,Tuesday
138,163,2019-01-01 15:25:09,2019-01-01 15:59:07,33,55509,Tuesday
138,163,2019-01-01 16:56:24,2019-01-01 17:26:32,30,60984,Tuesday
138,163,2019-01-01 16:47:10,2019-01-01 17:20:07,32,60430,Tuesday
138,163,2019-01-01 16:38:16,2019-01-01 17:21:52,43,59896,Tuesday
138,163,2019-01-01 16:37:57,2019-01-01 17:03:48,25,59877,Tuesday
138,163,2019-01-01 16:31:22,2019-01-01 17:05:52,34,59482,Tuesday
138,163,2019-01-01 16:57:06,2019-01-01 17:25:05,27,61026,Tuesday
138,163,2019-01-01 16:34:55,2019-01-01 17:00:46,25,59695,Tuesday
138,163,2019-01-01 15:59:13,2019-01-01 16:33:00,33,57553,Tuesday
138,163,2019-01-01 16:00:12,2019-01-01 16:32:56,32,57612,Tuesday
138,163,2019-01-01 16:09:22,2019-01-01 16:40:30,31,58162,Tuesday
138,163,2019-01-01 17:36:25,2019-01-01 18:06:08,29,63385,Tuesday
138,163,2019-01-01 17:46:58,2019-01-01 18:12:41,25,64018,Tuesday
138,163,2019-01-01 17:24:25,2019-01-01 17:54:30,30,62665,Tuesday
138,163,2019-01-01 16:53:41,2019-01-01 17:28:30,34,60821,Tuesday
138,163,2019-01-01 17:20:19,2019-01-01 17:46:40,26,62419,Tuesday
138,163,2019-01-01 17:27:09,2019-01-01 17:49:06,21,62829,Tuesday
138,163,2019-01-01 18:54:26,2019-01-01 19:30:00,35,68066,Tuesday
138,163,2019-01-01 18:37:52,2019-01-01 19:03:52,26,67072,Tuesday
138,163,2019-01-01 19:55:50,2019-01-01 20:32:47,36,71750,Tuesday
138,163,2019-01-01 19:15:59,2019-01-01 19:43:05,27,69359,Tuesday
138,163,2019-01-01 20:26:44,2019-01-01 20:50:37,23,73604,Tuesday
138,163,2019-01-01 21:57:42,2019-01-01 22:20:32,22,79062,Tuesday
138,163,2019-01-01 22:10:34,2019-01-01 22:34:12,23,79834,Tuesday
138,163,2019-01-01 21:18:13,2019-01-01 21:47:54,29,76693,Tuesday
138,163,2019-01-01 21:57:51,2019-01-01 22:20:42,22,79071,Tuesday
138,163,2019-01-01 22:28:56,2019-01-01 22:53:28,24,80936,Tuesday
138,163,2019-01-01 23:39:40,2019-01-01 23:59:40,20,85180,Tuesday
138,163,2019-01-01 23:01:09,2019-01-01 23:26:28,25,82869,Tuesday
138,163,2019-01-01 23:12:21,2019-01-01 23:32:11,19,83541,Tuesday
138,163,2019-01-02 07:21:37,2019-01-02 07:54:55,33,26497,Wednesday
138,163,2019-01-02 07:37:18,2019-01-02 08:00:44,23,27438,Wednesday
